example_id,source_lang,target_lang,source_text,target_text,domain,register,source_type,source_name,source_url,license,translator,review_status,notes
fra-kon-000001,fra,kon,Va !,,,,,,,CC-BY-4.0,,,
fra-kon-000002,fra,kon,Cours !,,,,,,,CC-BY-4.0,,,
fra-kon-000003,fra,kon,Courez !,,,,,,,CC-BY-4.0,,,
fra-kon-000004,fra,kon,Ça alors !,,,,,,,CC-BY-4.0,,,
fra-kon-000005,fra,kon,Au feu !,,,,,,,CC-BY-4.0,,,
fra-kon-000006,fra,kon,À l'aide !,,,,,,,CC-BY-4.0,,,
fra-kon-000007,fra,kon,Saute.,,,,,,,CC-BY-4.0,,,
fra-kon-000008,fra,kon,Ça suffit !,,,,,,,CC-BY-4.0,,,
fra-kon-000009,fra,kon,Stop !,,,,,,,CC-BY-4.0,,,
fra-kon-000010,fra,kon,Arrête-toi !,,,,,,,CC-BY-4.0,,,
fra-kon-000011,fra,kon,Attends !,,,,,,,CC-BY-4.0,,,
fra-kon-000012,fra,kon,Attendez !,,,,,,,CC-BY-4.0,,,
fra-kon-000013,fra,kon,Je comprends.,,,,,,,CC-BY-4.0,,,
fra-kon-000014,fra,kon,J'essaye.,,,,,,,CC-BY-4.0,,,
fra-kon-000015,fra,kon,J'ai gagné !,,,,,,,CC-BY-4.0,,,
fra-kon-000016,fra,kon,Je l'ai emporté !,,,,,,,CC-BY-4.0,,,
fra-kon-000017,fra,kon,Oh non !,,,,,,,CC-BY-4.0,,,
fra-kon-000018,fra,kon,Attaque !,,,,,,,CC-BY-4.0,,,
fra-kon-000019,fra,kon,Attaquez !,,,,,,,CC-BY-4.0,,,
fra-kon-000020,fra,kon,Santé !,,,,,,,CC-BY-4.0,,,
fra-kon-000021,fra,kon,À votre santé !,,,,,,,CC-BY-4.0,,,
fra-kon-000022,fra,kon,Merci !,,,,,,,CC-BY-4.0,,,
fra-kon-000023,fra,kon,Tchin-tchin !,,,,,,,CC-BY-4.0,,,
fra-kon-000024,fra,kon,Lève-toi.,,,,,,,CC-BY-4.0,,,
fra-kon-000025,fra,kon,J'ai pigé !,,,,,,,CC-BY-4.0,,,
fra-kon-000026,fra,kon,Compris !,,,,,,,CC-BY-4.0,,,
fra-kon-000027,fra,kon,Pigé ?,,,,,,,CC-BY-4.0,,,
fra-kon-000028,fra,kon,Compris ?,,,,,,,CC-BY-4.0,,,
fra-kon-000029,fra,kon,T'as capté ?,,,,,,,CC-BY-4.0,,,
fra-kon-000030,fra,kon,Monte.,,,,,,,CC-BY-4.0,,,
fra-kon-000031,fra,kon,Montez.,,,,,,,CC-BY-4.0,,,
fra-kon-000032,fra,kon,Serre-moi dans tes bras !,,,,,,,CC-BY-4.0,,,
fra-kon-000033,fra,kon,Serrez-moi dans vos bras !,,,,,,,CC-BY-4.0,,,
fra-kon-000034,fra,kon,Je suis tombée.,,,,,,,CC-BY-4.0,,,
fra-kon-000035,fra,kon,Je suis tombé.,,,,,,,CC-BY-4.0,,,
fra-kon-000036,fra,kon,Je sais.,,,,,,,CC-BY-4.0,,,
fra-kon-000037,fra,kon,Je suis parti.,,,,,,,CC-BY-4.0,,,
fra-kon-000038,fra,kon,Je suis partie.,,,,,,,CC-BY-4.0,,,
fra-kon-000039,fra,kon,J'ai perdu.,,,,,,,CC-BY-4.0,,,
fra-kon-000040,fra,kon,J'ai 19 ans.,,,,,,,CC-BY-4.0,,,
fra-kon-000041,fra,kon,Je vais bien.,,,,,,,CC-BY-4.0,,,
fra-kon-000042,fra,kon,Ça va.,,,,,,,CC-BY-4.0,,,
fra-kon-000043,fra,kon,Écoutez !,,,,,,,CC-BY-4.0,,,
fra-kon-000044,fra,kon,C'est pas possible !,,,,,,,CC-BY-4.0,,,
fra-kon-000045,fra,kon,Impossible !,,,,,,,CC-BY-4.0,,,
fra-kon-000046,fra,kon,En aucun cas.,,,,,,,CC-BY-4.0,,,
fra-kon-000047,fra,kon,C'est hors de question !,,,,,,,CC-BY-4.0,,,
fra-kon-000048,fra,kon,Il n'en est pas question !,,,,,,,CC-BY-4.0,,,
fra-kon-000049,fra,kon,C'est exclu !,,,,,,,CC-BY-4.0,,,
fra-kon-000050,fra,kon,En aucune manière !,,,,,,,CC-BY-4.0,,,
fra-kon-000051,fra,kon,Hors de question !,,,,,,,CC-BY-4.0,,,
fra-kon-000052,fra,kon,Vraiment ?,,,,,,,CC-BY-4.0,,,
fra-kon-000053,fra,kon,Vrai ?,,,,,,,CC-BY-4.0,,,
fra-kon-000054,fra,kon,Ah bon ?,,,,,,,CC-BY-4.0,,,
fra-kon-000055,fra,kon,On essaye.,,,,,,,CC-BY-4.0,,,
fra-kon-000056,fra,kon,Nous avons gagné.,,,,,,,CC-BY-4.0,,,
fra-kon-000057,fra,kon,Nous gagnâmes.,,,,,,,CC-BY-4.0,,,
fra-kon-000058,fra,kon,Nous l'avons emporté.,,,,,,,CC-BY-4.0,,,
fra-kon-000059,fra,kon,Nous l'emportâmes.,,,,,,,CC-BY-4.0,,,
fra-kon-000060,fra,kon,Demande à Tom.,,,,,,,CC-BY-4.0,,,
fra-kon-000061,fra,kon,Fantastique !,,,,,,,CC-BY-4.0,,,
fra-kon-000062,fra,kon,Sois calme !,,,,,,,CC-BY-4.0,,,
fra-kon-000063,fra,kon,Soyez calme !,,,,,,,CC-BY-4.0,,,
fra-kon-000064,fra,kon,Soyez calmes !,,,,,,,CC-BY-4.0,,,
fra-kon-000065,fra,kon,Sois détendu !,,,,,,,CC-BY-4.0,,,
fra-kon-000066,fra,kon,Sois juste !,,,,,,,CC-BY-4.0,,,
fra-kon-000067,fra,kon,Soyez juste !,,,,,,,CC-BY-4.0,,,
fra-kon-000068,fra,kon,Soyez justes !,,,,,,,CC-BY-4.0,,,
fra-kon-000069,fra,kon,Sois équitable !,,,,,,,CC-BY-4.0,,,
fra-kon-000070,fra,kon,Soyez équitable !,,,,,,,CC-BY-4.0,,,
fra-kon-000071,fra,kon,Soyez équitables !,,,,,,,CC-BY-4.0,,,
fra-kon-000072,fra,kon,Sois gentil.,,,,,,,CC-BY-4.0,,,
fra-kon-000073,fra,kon,Sois gentil !,,,,,,,CC-BY-4.0,,,
fra-kon-000074,fra,kon,Sois gentille !,,,,,,,CC-BY-4.0,,,
fra-kon-000075,fra,kon,Soyez gentil !,,,,,,,CC-BY-4.0,,,
fra-kon-000076,fra,kon,Soyez gentille !,,,,,,,CC-BY-4.0,,,
fra-kon-000077,fra,kon,Soyez gentils !,,,,,,,CC-BY-4.0,,,
fra-kon-000078,fra,kon,Soyez gentilles !,,,,,,,CC-BY-4.0,,,
fra-kon-000079,fra,kon,Dégage !,,,,,,,CC-BY-4.0,,,
fra-kon-000080,fra,kon,Appelle-moi !,,,,,,,CC-BY-4.0,,,
fra-kon-000081,fra,kon,Appellez-moi !,,,,,,,CC-BY-4.0,,,
fra-kon-000082,fra,kon,Appelle-nous !,,,,,,,CC-BY-4.0,,,
fra-kon-000083,fra,kon,Appelez-nous !,,,,,,,CC-BY-4.0,,,
fra-kon-000084,fra,kon,Entrez !,,,,,,,CC-BY-4.0,,,
fra-kon-000085,fra,kon,Entre.,,,,,,,CC-BY-4.0,,,
fra-kon-000086,fra,kon,Entre !,,,,,,,CC-BY-4.0,,,
fra-kon-000087,fra,kon,Entrez !,,,,,,,CC-BY-4.0,,,
fra-kon-000088,fra,kon,Allez !,,,,,,,CC-BY-4.0,,,
fra-kon-000089,fra,kon,Allez !,,,,,,,CC-BY-4.0,,,
fra-kon-000090,fra,kon,Viens !,,,,,,,CC-BY-4.0,,,
fra-kon-000091,fra,kon,Venez !,,,,,,,CC-BY-4.0,,,
fra-kon-000092,fra,kon,Laisse tomber !,,,,,,,CC-BY-4.0,,,
fra-kon-000093,fra,kon,Laissez tomber !,,,,,,,CC-BY-4.0,,,
fra-kon-000094,fra,kon,Laisse-le tomber !,,,,,,,CC-BY-4.0,,,
fra-kon-000095,fra,kon,Laissez-le tomber !,,,,,,,CC-BY-4.0,,,
fra-kon-000096,fra,kon,Sortez !,,,,,,,CC-BY-4.0,,,
fra-kon-000097,fra,kon,Sors !,,,,,,,CC-BY-4.0,,,
fra-kon-000098,fra,kon,Sortez !,,,,,,,CC-BY-4.0,,,
fra-kon-000099,fra,kon,Sors.,,,,,,,CC-BY-4.0,,,
fra-kon-000100,fra,kon,Casse-toi.,,,,,,,CC-BY-4.0,,,
fra-kon-000101,fra,kon,Pars !,,,,,,,CC-BY-4.0,,,
fra-kon-000102,fra,kon,Va te faire foutre !,,,,,,,CC-BY-4.0,,,
fra-kon-000103,fra,kon,Dégage !,,,,,,,CC-BY-4.0,,,
fra-kon-000104,fra,kon,Fous le camp !,,,,,,,CC-BY-4.0,,,
fra-kon-000105,fra,kon,Pars d'ici.,,,,,,,CC-BY-4.0,,,
fra-kon-000106,fra,kon,Va t'en !,,,,,,,CC-BY-4.0,,,
fra-kon-000107,fra,kon,Disparais !,,,,,,,CC-BY-4.0,,,
fra-kon-000108,fra,kon,Allez-vous en !,,,,,,,CC-BY-4.0,,,
fra-kon-000109,fra,kon,Va doucement !,,,,,,,CC-BY-4.0,,,
fra-kon-000110,fra,kon,Allez doucement !,,,,,,,CC-BY-4.0,,,
fra-kon-000111,fra,kon,À la revoyure.,,,,,,,CC-BY-4.0,,,
fra-kon-000112,fra,kon,Attends un peu !,,,,,,,CC-BY-4.0,,,
fra-kon-000113,fra,kon,Attendez un peu !,,,,,,,CC-BY-4.0,,,
fra-kon-000114,fra,kon,Tiens bon !,,,,,,,CC-BY-4.0,,,
fra-kon-000115,fra,kon,Tenez bon !,,,,,,,CC-BY-4.0,,,
fra-kon-000116,fra,kon,Il laissa tomber.,,,,,,,CC-BY-4.0,,,
fra-kon-000117,fra,kon,Il a laissé tomber.,,,,,,,CC-BY-4.0,,,
fra-kon-000118,fra,kon,Il court.,,,,,,,CC-BY-4.0,,,
fra-kon-000119,fra,kon,Aide-moi !,,,,,,,CC-BY-4.0,,,
fra-kon-000120,fra,kon,Aide-moi.,,,,,,,CC-BY-4.0,,,
fra-kon-000121,fra,kon,Aidez-moi.,,,,,,,CC-BY-4.0,,,
fra-kon-000122,fra,kon,Aidez-nous !,,,,,,,CC-BY-4.0,,,
fra-kon-000123,fra,kon,Aide-nous !,,,,,,,CC-BY-4.0,,,
fra-kon-000124,fra,kon,Ne bouge plus !,,,,,,,CC-BY-4.0,,,
fra-kon-000125,fra,kon,Ne quittez pas.,,,,,,,CC-BY-4.0,,,
fra-kon-000126,fra,kon,Je suis du même avis.,,,,,,,CC-BY-4.0,,,
fra-kon-000127,fra,kon,Je conduis.,,,,,,,CC-BY-4.0,,,
fra-kon-000128,fra,kon,J'essayai.,,,,,,,CC-BY-4.0,,,
fra-kon-000129,fra,kon,J'ai essayé.,,,,,,,CC-BY-4.0,,,
