example_id,source_lang,target_lang,source_text,target_text,domain,register,source_type,source_name,source_url,license,translator,review_status,notes
fra-lin-000001,fra,lin,Va !,,,,,,,CC-BY-4.0,,,
fra-lin-000002,fra,lin,Cours !,,,,,,,CC-BY-4.0,,,
fra-lin-000003,fra,lin,Courez !,,,,,,,CC-BY-4.0,,,
fra-lin-000004,fra,lin,Ça alors !,,,,,,,CC-BY-4.0,,,
fra-lin-000005,fra,lin,Au feu !,,,,,,,CC-BY-4.0,,,
fra-lin-000006,fra,lin,À l'aide !,,,,,,,CC-BY-4.0,,,
fra-lin-000007,fra,lin,Saute.,,,,,,,CC-BY-4.0,,,
fra-lin-000008,fra,lin,Ça suffit !,,,,,,,CC-BY-4.0,,,
fra-lin-000009,fra,lin,Stop !,,,,,,,CC-BY-4.0,,,
fra-lin-000010,fra,lin,Arrête-toi !,,,,,,,CC-BY-4.0,,,
fra-lin-000011,fra,lin,Attends !,,,,,,,CC-BY-4.0,,,
fra-lin-000012,fra,lin,Attendez !,,,,,,,CC-BY-4.0,,,
fra-lin-000013,fra,lin,Je comprends.,,,,,,,CC-BY-4.0,,,
fra-lin-000014,fra,lin,J'essaye.,,,,,,,CC-BY-4.0,,,
fra-lin-000015,fra,lin,J'ai gagné !,,,,,,,CC-BY-4.0,,,
fra-lin-000016,fra,lin,Je l'ai emporté !,,,,,,,CC-BY-4.0,,,
fra-lin-000017,fra,lin,Oh non !,,,,,,,CC-BY-4.0,,,
fra-lin-000018,fra,lin,Attaque !,,,,,,,CC-BY-4.0,,,
fra-lin-000019,fra,lin,Attaquez !,,,,,,,CC-BY-4.0,,,
fra-lin-000020,fra,lin,Santé !,,,,,,,CC-BY-4.0,,,
fra-lin-000021,fra,lin,À votre santé !,,,,,,,CC-BY-4.0,,,
fra-lin-000022,fra,lin,Merci !,,,,,,,CC-BY-4.0,,,
fra-lin-000023,fra,lin,Tchin-tchin !,,,,,,,CC-BY-4.0,,,
fra-lin-000024,fra,lin,Lève-toi.,,,,,,,CC-BY-4.0,,,
fra-lin-000025,fra,lin,J'ai pigé !,,,,,,,CC-BY-4.0,,,
fra-lin-000026,fra,lin,Compris !,,,,,,,CC-BY-4.0,,,
fra-lin-000027,fra,lin,Pigé ?,,,,,,,CC-BY-4.0,,,
fra-lin-000028,fra,lin,Compris ?,,,,,,,CC-BY-4.0,,,
