example_id,source_lang,target_lang,source_text,target_text,domain,register,source_type,source_name,source_url,license,translator,review_status,notes
fra-swa-000001,fra,swa,Va !,,,,,,,CC-BY-4.0,,,
fra-swa-000002,fra,swa,Cours !,,,,,,,CC-BY-4.0,,,
fra-swa-000003,fra,swa,Courez !,,,,,,,CC-BY-4.0,,,
fra-swa-000004,fra,swa,Ça alors !,,,,,,,CC-BY-4.0,,,
fra-swa-000005,fra,swa,Au feu !,,,,,,,CC-BY-4.0,,,
fra-swa-000006,fra,swa,À l'aide !,,,,,,,CC-BY-4.0,,,
fra-swa-000007,fra,swa,Saute.,,,,,,,CC-BY-4.0,,,
fra-swa-000008,fra,swa,Ça suffit !,,,,,,,CC-BY-4.0,,,
fra-swa-000009,fra,swa,Stop !,,,,,,,CC-BY-4.0,,,
fra-swa-000010,fra,swa,Arrête-toi !,,,,,,,CC-BY-4.0,,,
fra-swa-000011,fra,swa,Attends !,,,,,,,CC-BY-4.0,,,
fra-swa-000012,fra,swa,Attendez !,,,,,,,CC-BY-4.0,,,
fra-swa-000013,fra,swa,Je comprends.,,,,,,,CC-BY-4.0,,,
fra-swa-000014,fra,swa,J'essaye.,,,,,,,CC-BY-4.0,,,
fra-swa-000015,fra,swa,J'ai gagné !,,,,,,,CC-BY-4.0,,,
fra-swa-000016,fra,swa,Je l'ai emporté !,,,,,,,CC-BY-4.0,,,
fra-swa-000017,fra,swa,Oh non !,,,,,,,CC-BY-4.0,,,
fra-swa-000018,fra,swa,Attaque !,,,,,,,CC-BY-4.0,,,
fra-swa-000019,fra,swa,Attaquez !,,,,,,,CC-BY-4.0,,,
fra-swa-000020,fra,swa,Santé !,,,,,,,CC-BY-4.0,,,
fra-swa-000021,fra,swa,À votre santé !,,,,,,,CC-BY-4.0,,,
fra-swa-000022,fra,swa,Merci !,,,,,,,CC-BY-4.0,,,
fra-swa-000023,fra,swa,Tchin-tchin !,,,,,,,CC-BY-4.0,,,
fra-swa-000024,fra,swa,Lève-toi.,,,,,,,CC-BY-4.0,,,
fra-swa-000025,fra,swa,J'ai pigé !,,,,,,,CC-BY-4.0,,,
fra-swa-000026,fra,swa,Compris !,,,,,,,CC-BY-4.0,,,
fra-swa-000027,fra,swa,Pigé ?,,,,,,,CC-BY-4.0,,,
fra-swa-000028,fra,swa,Compris ?,,,,,,,CC-BY-4.0,,,
fra-swa-000029,fra,swa,T'as capté ?,,,,,,,CC-BY-4.0,,,
fra-swa-000030,fra,swa,Monte.,,,,,,,CC-BY-4.0,,,
fra-swa-000031,fra,swa,Montez.,,,,,,,CC-BY-4.0,,,
fra-swa-000032,fra,swa,Serre-moi dans tes bras !,,,,,,,CC-BY-4.0,,,
fra-swa-000033,fra,swa,Serrez-moi dans vos bras !,,,,,,,CC-BY-4.0,,,
fra-swa-000034,fra,swa,Je suis tombée.,,,,,,,CC-BY-4.0,,,
fra-swa-000035,fra,swa,Je suis tombé.,,,,,,,CC-BY-4.0,,,
fra-swa-000036,fra,swa,Je sais.,,,,,,,CC-BY-4.0,,,
fra-swa-000037,fra,swa,Je suis parti.,,,,,,,CC-BY-4.0,,,
fra-swa-000038,fra,swa,Je suis partie.,,,,,,,CC-BY-4.0,,,
fra-swa-000039,fra,swa,J'ai perdu.,,,,,,,CC-BY-4.0,,,
fra-swa-000040,fra,swa,J'ai 19 ans.,,,,,,,CC-BY-4.0,,,
fra-swa-000041,fra,swa,Je vais bien.,,,,,,,CC-BY-4.0,,,
fra-swa-000042,fra,swa,Ça va.,,,,,,,CC-BY-4.0,,,
fra-swa-000043,fra,swa,Écoutez !,,,,,,,CC-BY-4.0,,,
fra-swa-000044,fra,swa,C'est pas possible !,,,,,,,CC-BY-4.0,,,
fra-swa-000045,fra,swa,Impossible !,,,,,,,CC-BY-4.0,,,
fra-swa-000046,fra,swa,En aucun cas.,,,,,,,CC-BY-4.0,,,
fra-swa-000047,fra,swa,C'est hors de question !,,,,,,,CC-BY-4.0,,,
fra-swa-000048,fra,swa,Il n'en est pas question !,,,,,,,CC-BY-4.0,,,
fra-swa-000049,fra,swa,C'est exclu !,,,,,,,CC-BY-4.0,,,
fra-swa-000050,fra,swa,En aucune manière !,,,,,,,CC-BY-4.0,,,
